,feasible,total_proportion_used,total_costs,total_use,total_use_top_quintile,total_use_bottom_quintile,total_water_use_by_bottom_quintile,total_cost_for_bottom_quintile,proportion_of_water_used_by_bottom_quintile,proportion_of_lower_price_water_used_by_bottom_quintile,variance_of_water_use,per_gallon_price_bottom_quintile,per_gallon_price_top_quintile,price1,price2,threshold,perc_spent_by_bottom_quintile,prop_bottom_used_compared_to_top,prop_per_gallon_price
0,False,0.0,2679874.4531461233,2679.874453146123,1022.8812994990408,320.5553742330548,320.5553742330548,320555.3742330548,0.11961581776964542,320555.3742330548,0.1813902337388321,1000.0,3190.9659975170807,1000,1000,0.0,0.1196158177696454,0.31338472449349475,0.31338472449349475
1,False,0.8019075399834447,2619437.0831606686,2619.437083160669,960.8480271623907,321.38252856783606,321.38252856783606,321382.52856783604,0.1226914479579899,0.1529994212939408,0.11830127869323583,999.9999999999999,2989.7332361039626,1000,1000,0.5,0.1226914479579899,0.3344780022257567,0.3344780022257567
2,False,0.9324469574955601,2709918.04785519,2709.91804785519,1020.6299721699628,321.3953922228487,321.3953922228487,321395.3922228488,0.11859967222153545,0.1271918196874271,0.12958503358140327,1000.0000000000001,3175.6210476791143,1000,1000,1.0,0.11859967222153546,0.314899033916797,0.3148990339167971
3,False,0.9753666286108166,2649911.329409846,2649.911329409846,978.600817206712,319.80467678960474,319.80467678960474,319804.6767896047,0.12068504830341908,0.12373296160650979,0.11267700837897852,999.9999999999999,3059.9953291193438,1000,1000,1.5,0.12068504830341907,0.3267978844555284,0.3267978844555284
4,False,0.9848221568637503,2686498.514372224,2686.498514372224,998.0301825312338,320.90654376207044,320.90654376207044,320906.5437620705,0.11945159918953438,0.12129251277308345,0.1394276275631867,1000.0000000000001,3110.033752603072,1000,1000,2.0,0.11945159918953438,0.32153991871085275,0.32153991871085275
5,False,0.9911864526465949,2644904.389490665,2644.9043894906654,966.132955460547,320.8283383989315,320.8283383989315,320828.33839893155,0.12130054291327864,0.122379090553176,0.11285642628532527,1000.0000000000001,3011.370380440697,1000,1000,2.5,0.12130054291327867,0.3320747280026231,0.3320747280026231
6,False,0.9955224242631183,2663042.8887245758,2663.0428887245753,981.1171178205881,318.6928798828397,318.6928798828397,318692.8798828397,0.11967245485688476,0.12021066206030019,0.11767364464199312,1000.0,3078.56616746905,1000,1000,3.0,0.11967245485688473,0.32482654118885473,0.32482654118885473
7,False,0.9925747171710697,2674020.2855283543,2674.020285528354,1001.2545498390393,321.7170850848845,321.7170850848845,321717.0850848845,0.120312133317013,0.12121212227767483,0.14894222466491527,1000.0,3112.2206319097418,1000,1000,3.5,0.12031213331701299,0.3213139806821386,0.3213139806821386
8,False,0.9979473619530164,2678507.536524507,2678.5075365245075,1009.1907404768947,322.7273226810993,322.7273226810993,322727.3226810993,0.1204877411320834,0.12073552238327954,0.12290083982538522,1000.0,3127.0694160411067,1000,1000,4.0,0.12048774113208342,0.31978823203291973,0.3197882320329197
9,False,0.9978451879636472,2686516.936344254,2686.5169363442537,1006.4505457428396,322.72980525646915,322.72980525646915,322729.80525646923,0.1201294512200738,0.1203888216898609,0.13024943943193928,1000.0000000000002,3118.554683671149,1000,1000,4.5,0.12012945122007383,0.32066136445707744,0.32066136445707744
10,False,0.9984608348515567,2678170.5759166917,2678.1705759166916,1004.8383667667216,320.8512337978092,320.8512337978092,320851.2337978091,0.11980238924400376,0.11998702428819315,0.13637017168042945,999.9999999999998,3131.789006614637,1000,1000,5.0,0.11980238924400372,0.3193063127458154,0.3193063127458154
11,False,0.9943416360124211,2686730.7001250694,2686.7307001250697,1016.4464068804843,320.30593532370756,320.30593532370756,320305.9353237075,0.11921773004968345,0.1198961012057202,0.1776569893166554,999.9999999999999,3173.3611362937854,1000,1000,5.5,0.11921773004968345,0.315123289487283,0.315123289487283
12,False,0.9995718188916145,2656202.291086996,2656.202291086996,986.3114033785646,322.6236959197696,322.6236959197696,322623.6959197696,0.12146051413416352,0.12151249774342682,0.11877431694211493,999.9999999999999,3057.1573503511086,1000,1000,6.0,0.12146051413416352,0.3271012530268198,0.3271012530268198
13,False,0.9963817958393393,2697103.479971459,2697.103479971459,1028.2115230462418,321.4946135225774,321.4946135225774,321494.6135225774,0.11919995502952653,0.11963276644681926,0.18565093729065416,999.9999999999999,3198.2231732602077,1000,1000,6.5,0.11919995502952652,0.3126736146372859,0.31267361463728593
14,False,1.0,2649955.995767328,2649.955995767328,979.3669654841008,316.85508530157074,316.85508530157074,316855.0853015707,0.11956994222080332,0.11956989709933816,0.10169044454085276,999.9999999999999,3090.8986818121484,1000,1000,7.0,0.11956994222080332,0.3235305013018786,0.3235305013018785
15,False,0.9965456708177172,2678946.257877186,2678.946257877186,1005.8498781902625,322.095954912161,322.095954912161,322095.954912161,0.12023233163601867,0.12064904812777194,0.16077430136686036,1000.0,3122.82679384958,1000,1000,7.5,0.12023233163601867,0.32022269117502905,0.320222691175029
16,False,0.9914436795933425,2748316.7639073567,2748.3167639073563,1057.8065812466566,319.5340541096465,319.5340541096465,319534.0541096465,0.11626536587993455,0.11726871188319797,0.3048488174567425,1000.0,3310.4658725472664,1000,1000,8.0,0.11626536587993454,0.3020722878591529,0.302072287859153
17,False,0.9991194491767901,2734100.39277179,2734.1003927717893,1044.6971176707948,321.6466735399268,321.6466735399268,321646.67353992676,0.11764259805172929,0.11774623653143111,0.15699126525943435,1000.0,3247.964936721518,1000,1000,8.5,0.11764259805172926,0.30788509712466167,0.3078850971246616
18,False,0.9996357499520647,2666467.7231946643,2666.4677231946644,993.5458925914239,321.926290238285,321.926290238285,321926.290238285,0.12073136585827066,0.12077531297769069,0.13222481374122014,999.9999999999999,3086.2527315057623,1000,1000,9.0,0.12073136585827066,0.3240175342063145,0.3240175342063145
19,False,1.0,2671465.640003826,2671.465640003826,1001.8450803610326,319.32770361790864,319.32770361790864,319327.70361790864,0.11953277588007881,0.11953273113582705,0.13476531818846227,1000.0,3137.3572321172287,1000,1000,9.5,0.11953277588007881,0.3187396034353268,0.3187396034353268
20,False,0.0,2828199.2032041517,2571.090184731047,963.4879305014908,310.117426056934,310.117426056934,341129.1686626274,0.12061709382993671,310117.426056934,0.1958935595544747,1100.0,3417.533600182358,1000,1100,0.0,0.12061709382993671,0.3218695494146142,0.32186954941461426
21,False,0.8185352763243146,2621620.0349250436,2574.8947779869077,924.939815503302,324.1177234442232,324.1177234442232,324117.7234442233,0.1258761042257515,0.15378206430805946,0.10129706538990411,1000.0000000000002,2984.967473633341,1000,1100,0.5,0.12363260851166417,0.35042033871993705,0.33501202570317706
