,baseline,linear,"lasso, alpha=0.7","lasso, alpha=1","lasso, alpha=16",Bayesian Ridge,"Gradient Boosting, lr=1e-07","Gradient Boosting, lr=1e-06","Gradient Boosting, lr=1e-05","Gradient Boosting, lr=0.0001","Gradient Boosting, lr=0.001","Gradient Boosting, lr=0.01","Gradient Boosting, lr=0.1","Gradient Boosting, lr=1"
0,20807.73235310129,1330045258248.617,5621.713869856408,5348.847891603245,5132.96574710808,6406.124603821311,20807.58508365293,20806.260943669837,20793.02656650952,20661.43026051887,19418.176695401595,11856.613062596323,6639.133495483964,6646.736936183996
1,20813.233267669988,5201.943670458177,3912.941560608115,3683.107322904629,4473.396745198305,4679.386099739656,20813.08886322908,20811.789247134748,20798.799357422202,20669.78332201612,19467.861801273724,12867.661010631376,7648.677935915077,10264.272469069314
2,19499.577399878308,5731.887842392971,5562.298641196375,5543.771385575323,5468.362590833581,5657.152044409579,19499.468129794855,19498.47700200143,19488.525024860537,19389.956309550485,18496.85170630206,13042.549184826055,8919.510067836472,13779.33492576605
3,21599.883043489914,6242.099018179727,5863.319670774668,5802.695179025279,5872.400363938583,6015.899247020611,21599.746798087646,21598.520665182026,21586.266829394895,21464.3053129414,20319.157370825367,13132.669345709324,7187.477543578291,13928.44978470074
4,20575.406400688935,8450181604678.611,4420.180613784201,4630.89704532906,5284.853929000412,4686.579431805413,20575.253814535175,20573.880630369345,20560.157816521263,20423.949517726283,19155.666871171565,11918.235420249955,6213.671473698659,10956.742012825702
